"cate","title","star"
"总榜","围城",93
"总榜","三体（全集）",93
"总榜","平凡的世界（全三册）",93
"总榜","雪中悍刀行（全集）",92
"总榜","人生",92
"总榜","撒哈拉的故事",91
"总榜","一禅小和尚",91
"总榜","明朝那些事儿（全集）",91
"总榜","活着（葛优、巩俐主演）",90
"总榜","百年孤独",90
"总榜","我们仨",90
"总榜","白夜行",90
"总榜","人类简史（新版）：从动物到上帝",90
"总榜","追风筝的人",90
"总榜","杀死一只知更鸟",90
"总榜","少年的你，如此美丽（易烊千玺、周冬雨主演）",90
"总榜","情书（柏原崇、中山美穗主演）",89
"总榜","一个叫欧维的男人决定去死",89
"总榜","邓小平时代",89
"总榜","解忧杂货店",89
"飙升","血疫：埃博拉的故事",86
"飙升","曼巴精神：科比自传",81
"新书","窗边的小豆豆（独家定制版）",89
"男生小说","修真聊天群",94
"男生小说","诡秘之主",94
"男生小说","剑来",93
"男生小说","牧神记",93
"男生小说","九星毒奶",93
"男生小说","斗罗大陆IV终极斗罗",92
"男生小说","第一序列",91
"男生小说","斗罗大陆",91
"男生小说","庆余年",91
"男生小说","超神机械师",89
"男生小说","将夜",85
"男生小说","沧元图",84
"男生小说","凡人修仙之仙界篇",83
"文学艺术榜","巨人的陨落（全集）",86
"文学艺术榜","当我谈跑步时，我谈些什么",85
"文学艺术榜","蒋勋说红楼梦（套装共8册）",83
"文学艺术榜","骆驼祥子",83
"文学艺术榜","鱼翅与花椒",82
"文学艺术榜","东野圭吾作品系列（七部）",82
"文学艺术榜","小孩",81
"文学艺术榜","红楼梦注评本",81
"文学艺术榜","菊次郎与佐纪",81
"名著经典榜","杀死一只知更鸟",90
"名著经典榜","百年孤独",90
"名著经典榜","人生海海",88
"名著经典榜","月亮与六便士",86
"名著经典榜","三国演义",86
"名著经典榜","基督山伯爵",85
"名著经典榜","红楼梦",85
"名著经典榜","霍乱时期的爱情",85
"名著经典榜","无声告白",85
"名著经典榜","苏菲的世界",83
"名著经典榜","西游记",83
"名著经典榜","丧钟为谁而鸣",82
"名著经典榜","百万英镑",81
"名著经典榜","三国演义（古典文库）",81
"青春言情榜","夫人你马甲又掉了",91
"青春言情榜","许你万丈光芒好",88
"青春言情榜","我的房分你一半",86
"青春言情榜","余生有你，甜又暖",82
"青春言情榜","别闹，薄先生！",81
"青春言情榜","岁月忽已暮",81
"推理悬疑榜","我有一座冒险屋",92
"推理悬疑榜","白夜行",90
"推理悬疑榜","盗墓笔记",89
"推理悬疑榜","恶意",88
"推理悬疑榜","弹弓神警（独家首发）",86
"推理悬疑榜","麻衣神算子",84
"推理悬疑榜","鬼吹灯（盗墓者的经历）",84
"推理悬疑榜","麻衣相师",83
"推理悬疑榜","古董局中局（大全集）",83
"推理悬疑榜","湖畔",83
"推理悬疑榜","罗杰疑案",83
"推理悬疑榜","藏地密码（全10册）",82
"推理悬疑榜","彷徨之刃",82
"推理悬疑榜","殉罪者",82
"影视原著榜","三体（全集）",93
"影视原著榜","庆余年",91
"影视原著榜","活着（葛优、巩俐主演）",90
"影视原著榜","白夜行",90
"影视原著榜","知否？知否？应是绿肥红瘦（全集）",89
"影视原著榜","盗墓笔记",89
"影视原著榜","解忧杂货店",89
"影视原著榜","恶意",88
"影视原著榜","白鹿原",88
"影视原著榜","大江大河（王凯主演）",86
"影视原著榜","康熙大帝（全集）",85
"影视原著榜","鬼吹灯（盗墓者的经历）",84
"影视原著榜","三生三世枕上书（迪丽热巴、高伟光主演）",83
"影视原著榜","余罪：我的刑侦笔记（共8册）",83
"影视原著榜","藏地密码（全10册）",82
"影视原著榜","诛仙",82
"科幻武侠榜","九星毒奶",93
"科幻武侠榜","三体（全集）",93
"科幻武侠榜","三体前传：球状闪电",89
"科幻武侠榜","黎明之剑",86
"科幻武侠榜","学霸的黑科技系统",85
"科幻武侠榜","天龙八部（全五册）（纯文字新修版）",84
"科幻武侠榜","诸界末日在线",83
"科幻武侠榜","笑傲江湖（全四册）（纯文字新修版）",83
"科幻武侠榜","从姑获鸟开始",82
"科幻武侠榜","射雕英雄传（全四册）（纯文字新修版）",82
"励志治愈榜","非暴力沟通",86
"励志治愈榜","你当像鸟飞往你的山",84
"励志治愈榜","以幽默的方式过一生",84
"励志治愈榜","遇见未知的自己",84
"励志治愈榜","亲密关系",83
"励志治愈榜","断舍离",83
"励志治愈榜","羊皮卷",82
"励志治愈榜","人性的弱点",81
"励志治愈榜","狼道",81
"经济管理榜","富爸爸穷爸爸（20周年修订版）",88
"经济管理榜","原则",85
"经济管理榜","美国陷阱",85
"经济管理榜","穷查理宝典：查理·芒格智慧箴言录",84
"经济管理榜","半小时漫画经济学1-2（独家定制版）",84
"经济管理榜","指数基金投资指南",84
"经济管理榜","激荡四十年：中国企业1978—2018（全三册）",82
"经济管理榜","财务自由之路",81
"都市小说榜","修真聊天群",94
"都市小说榜","第一序列",91
"都市小说榜","全球高武",91
"都市小说榜","手术直播间",86
"都市小说榜","大王饶命",85
"都市小说榜","我真没想出名啊",83
"都市小说榜","大医凌然",83
"都市小说榜","我真没想重生啊",81
"都市小说榜","黄金瞳",81
"都市小说榜","当医生开了外挂",81
"职场榜","褚时健传",89
"职场榜","非暴力沟通",86
"职场榜","莫负寒夏",85
"职场榜","人民的名义（影视原著）",84
"职场榜","富爸爸财务自由之路",81
"职场榜","投资中最简单的事",81
"心理课堂榜","天才在左 疯子在右",85
"心理课堂榜","自控力",83
"心理课堂榜","墨菲定律：世界上最有趣最有用的定律（超值白金版）",82
"心理课堂榜","我不是坏孩子，我只是压力大：帮助孩子学会调节压力、管理情绪",81
"玄幻奇幻榜","诡秘之主",94
"玄幻奇幻榜","牧神记",93
"玄幻奇幻榜","雪中悍刀行（全集）",92
"玄幻奇幻榜","斗罗大陆IV终极斗罗",92
"玄幻奇幻榜","斗罗大陆",91
"玄幻奇幻榜","斗罗大陆II绝世唐门",88
"玄幻奇幻榜","斗破苍穹",88
"玄幻奇幻榜","我师兄实在太稳健了",86
"玄幻奇幻榜","完美世界",86
"玄幻奇幻榜","将夜",85
"玄幻奇幻榜","沧元图",84
"玄幻奇幻榜","三生三世枕上书（迪丽热巴、高伟光主演）",83
"玄幻奇幻榜","凡人修仙之仙界篇",83
"玄幻奇幻榜","九星霸体诀",82
"玄幻奇幻榜","龙族Ⅰ：火之晨曦",81
"玄幻奇幻榜","龙族Ⅲ：黑月之潮（下）",81
"当代文学榜","撒哈拉的故事",91
"当代文学榜","我不",88
"当代文学榜","看见",87
"当代文学榜","城南旧事",85
"当代文学榜","皮囊",85
"当代文学榜","我与地坛",85
"当代文学榜","白说",84
"当代文学榜","朗读者（全3册）",83
"当代文学榜","历史的温度（全四册-独家定制版）",83
"当代文学榜","目送：龙应台“人生三书”之三",83
"当代文学榜","一只特立独行的猪",82
"当代文学榜","爱你就像爱生命",82
"当代文学榜","沉默的大多数",82
"当代文学榜","生活是很好玩的",81
"男生小说榜","剑来",93
"男生小说榜","轮回乐园",89
"男生小说榜","超神机械师",89
"男生小说榜","全职高手",89
"男生小说榜","道君",87
"男生小说榜","遮天",86
"男生小说榜","凡人修仙传",85
"男生小说榜","烂柯棋缘",83
"男生小说榜","仙逆",82
"男生小说榜","一念永恒",82
"男生小说榜","三寸人间",82
"男生小说榜","诛仙",82
"男生小说榜","星辰变",81
"女生小说榜","爷是病娇得宠着",90
"女生小说榜","这个大佬画风不对",89
"女生小说榜","电竞大神暗恋我",88
"女生小说榜","穿书后，胖喵儿在八零做团宠",85
"女生小说榜","死亡万花筒",83
"人物传记榜","我们仨",90
"人物传记榜","邓小平时代",89
"人物传记榜","褚时健传",89
"人物传记榜","咏远有李",82
"人物传记榜","曼巴精神：科比自传",81
"人物传记榜","傅雷家书",81
